timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:40:00.787, 210 MHz, 52, 4.25 W, 6 %
2026/08/28 23:40:01.808, 210 MHz, 52, 4.96 W, 6 %
2026/08/28 23:40:02.835, 2385 MHz, 58, 49.74 W, 99 %
2026/08/28 23:40:03.859, 2010 MHz, 59, 45.06 W, 100 %
2026/08/28 23:40:04.880, 1980 MHz, 59, 48.66 W, 100 %
2026/08/28 23:40:05.912, 2220 MHz, 61, 52.58 W, 98 %
2026/08/28 23:40:06.932, 2220 MHz, 63, 54.27 W, 100 %
2026/08/28 23:40:07.944, 2280 MHz, 63, 56.06 W, 100 %
2026/08/28 23:40:08.350, 2310 MHz, 63, 57.16 W, 100 %
2026/08/28 23:40:09.357, 2370 MHz, 64, 59.03 W, 100 %
2026/08/28 23:40:10.381, 2385 MHz, 64, 60.75 W, 100 %
2026/08/28 23:40:11.390, 2400 MHz, 65, 61.37 W, 100 %
2026/08/28 23:40:12.399, 2415 MHz, 65, 62.01 W, 100 %
2026/08/28 23:40:13.427, 2430 MHz, 65, 62.36 W, 100 %
2026/08/28 23:40:14.454, 2430 MHz, 66, 63.28 W, 100 %
2026/08/28 23:40:15.476, 2430 MHz, 66, 62.81 W, 100 %
2026/08/28 23:40:16.504, 2430 MHz, 65, 63.68 W, 100 %
2026/08/28 23:40:17.527, 2430 MHz, 67, 62.94 W, 100 %
2026/08/28 23:40:18.552, 2460 MHz, 67, 63.37 W, 99 %
2026/08/28 23:40:19.579, 2460 MHz, 68, 64.16 W, 99 %
2026/08/28 23:40:20.604, 2445 MHz, 68, 63.61 W, 99 %
2026/08/28 23:40:21.628, 2445 MHz, 68, 63.76 W, 100 %
2026/08/28 23:40:22.651, 2445 MHz, 68, 63.49 W, 100 %
2026/08/28 23:40:23.678, 2400 MHz, 68, 62.67 W, 99 %
2026/08/28 23:40:24.713, 2385 MHz, 68, 60.72 W, 98 %
2026/08/28 23:40:25.745, 2400 MHz, 68, 61.16 W, 99 %
2026/08/28 23:40:26.777, 2430 MHz, 68, 61.87 W, 99 %
2026/08/28 23:40:27.808, 2400 MHz, 68, 61.71 W, 99 %
2026/08/28 23:40:28.840, 2430 MHz, 68, 62.22 W, 99 %
2026/08/28 23:40:29.872, 2445 MHz, 68, 62.79 W, 99 %
2026/08/28 23:40:30.893, 2445 MHz, 69, 63.34 W, 99 %
2026/08/28 23:40:31.914, 2445 MHz, 69, 63.78 W, 100 %
2026/08/28 23:40:32.935, 2445 MHz, 69, 63.74 W, 99 %
2026/08/28 23:40:33.955, 2430 MHz, 68, 63.39 W, 100 %
2026/08/28 23:40:34.982, 2430 MHz, 68, 63.07 W, 100 %
2026/08/28 23:40:36.006, 2415 MHz, 67, 63.09 W, 100 %
2026/08/28 23:40:37.027, 2415 MHz, 68, 63.10 W, 100 %
2026/08/28 23:40:38.050, 2415 MHz, 68, 62.78 W, 100 %
2026/08/28 23:40:39.070, 2415 MHz, 68, 62.64 W, 100 %
2026/08/28 23:40:39.465, 2400 MHz, 68, 62.60 W, 100 %
2026/08/28 23:40:40.473, 2430 MHz, 68, 62.78 W, 100 %
2026/08/28 23:40:41.479, 2430 MHz, 68, 62.84 W, 100 %
2026/08/28 23:40:42.487, 2415 MHz, 68, 62.58 W, 100 %
2026/08/28 23:40:43.499, 2415 MHz, 68, 62.29 W, 100 %
2026/08/28 23:40:44.517, 2385 MHz, 69, 62.02 W, 100 %
2026/08/28 23:40:45.538, 2385 MHz, 68, 62.14 W, 100 %
2026/08/28 23:40:46.560, 2415 MHz, 68, 62.73 W, 100 %
2026/08/28 23:40:47.584, 2400 MHz, 69, 62.64 W, 100 %
2026/08/28 23:40:48.626, 2385 MHz, 68, 62.57 W, 100 %
2026/08/28 23:40:49.655, 2415 MHz, 69, 63.03 W, 100 %
2026/08/28 23:40:50.685, 2385 MHz, 68, 63.14 W, 100 %
2026/08/28 23:40:51.714, 2415 MHz, 69, 62.63 W, 100 %
2026/08/28 23:40:52.744, 2445 MHz, 70, 63.13 W, 100 %
2026/08/28 23:40:53.775, 2445 MHz, 70, 63.30 W, 100 %
2026/08/28 23:40:54.808, 2430 MHz, 70, 63.36 W, 100 %
2026/08/28 23:40:55.834, 2445 MHz, 70, 64.13 W, 100 %
2026/08/28 23:40:56.865, 2445 MHz, 70, 64.00 W, 99 %
2026/08/28 23:40:57.896, 2430 MHz, 70, 63.11 W, 99 %
2026/08/28 23:40:58.928, 2415 MHz, 70, 63.23 W, 99 %
2026/08/28 23:40:59.965, 2445 MHz, 70, 63.70 W, 99 %
