timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 15:51:09.949, 210 MHz, 50, 2.12 W, 0 %
2026/08/28 15:51:10.955, 930 MHz, 51, 21.80 W, 99 %
2026/08/28 15:51:11.957, 1185 MHz, 53, 26.11 W, 100 %
2026/08/28 15:51:12.959, 1530 MHz, 54, 30.93 W, 99 %
2026/08/28 15:51:13.962, 1935 MHz, 57, 43.71 W, 100 %
2026/08/28 15:51:14.965, 2295 MHz, 59, 48.12 W, 100 %
2026/08/28 15:51:15.967, 2190 MHz, 60, 46.15 W, 100 %
2026/08/28 15:51:16.969, 2385 MHz, 61, 52.25 W, 100 %
2026/08/28 15:51:17.972, 2415 MHz, 61, 52.25 W, 100 %
2026/08/28 15:51:18.975, 2190 MHz, 63, 52.35 W, 99 %
2026/08/28 15:51:19.976, 2310 MHz, 64, 57.35 W, 99 %
2026/08/28 15:51:20.980, 2325 MHz, 65, 58.77 W, 99 %
2026/08/28 15:51:21.982, 2355 MHz, 66, 60.41 W, 99 %
2026/08/28 15:51:22.984, 2370 MHz, 67, 61.58 W, 99 %
2026/08/28 15:51:23.990, 2400 MHz, 67, 63.12 W, 98 %
2026/08/28 15:51:24.993, 2610 MHz, 66, 64.73 W, 100 %
2026/08/28 15:51:25.995, 2625 MHz, 66, 64.35 W, 100 %
2026/08/28 15:51:26.998, 2595 MHz, 67, 63.75 W, 100 %
2026/08/28 15:51:28.001, 2595 MHz, 67, 63.60 W, 100 %
2026/08/28 15:51:29.004, 2550 MHz, 67, 63.17 W, 99 %
2026/08/28 15:51:30.006, 2595 MHz, 67, 61.62 W, 100 %
2026/08/28 15:51:31.009, 2565 MHz, 67, 61.68 W, 99 %
2026/08/28 15:51:32.012, 2610 MHz, 67, 62.36 W, 100 %
2026/08/28 15:51:33.014, 2565 MHz, 68, 63.03 W, 100 %
2026/08/28 15:51:34.023, 2385 MHz, 70, 61.97 W, 98 %
2026/08/28 15:51:35.025, 2415 MHz, 70, 63.76 W, 99 %
2026/08/28 15:51:36.028, 2430 MHz, 70, 64.19 W, 99 %
