timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:07:58.654, 210 MHz, 51, 2.06 W, 0 %
2026/08/28 16:07:59.657, 900 MHz, 53, 22.59 W, 99 %
2026/08/28 16:08:00.659, 1170 MHz, 54, 24.19 W, 99 %
2026/08/28 16:08:01.660, 1485 MHz, 56, 33.67 W, 100 %
2026/08/28 16:08:02.663, 1950 MHz, 58, 44.34 W, 100 %
2026/08/28 16:08:03.671, 2280 MHz, 60, 44.38 W, 100 %
2026/08/28 16:08:04.675, 2190 MHz, 61, 46.38 W, 99 %
2026/08/28 16:08:05.677, 2190 MHz, 63, 50.19 W, 99 %
2026/08/28 16:08:06.678, 2205 MHz, 64, 53.12 W, 98 %
2026/08/28 16:08:07.679, 2250 MHz, 64, 55.42 W, 99 %
2026/08/28 16:08:08.681, 2310 MHz, 66, 56.46 W, 99 %
2026/08/28 16:08:09.684, 2520 MHz, 65, 54.57 W, 100 %
2026/08/28 16:08:10.690, 2490 MHz, 65, 56.82 W, 100 %
2026/08/28 16:08:11.692, 2565 MHz, 66, 61.00 W, 100 %
2026/08/28 16:08:12.698, 2625 MHz, 67, 61.67 W, 100 %
2026/08/28 16:08:13.701, 2595 MHz, 67, 63.06 W, 100 %
2026/08/28 16:08:14.704, 2610 MHz, 67, 64.03 W, 100 %
2026/08/28 16:08:15.708, 2430 MHz, 69, 63.88 W, 98 %
