timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 23:46:03.939, 210 MHz, 49, 3.82 W, 3 %
2026/08/28 23:46:04.942, 390 MHz, 50, 42.81 W, 97 %
2026/08/28 23:46:05.979, 2085 MHz, 57, 50.59 W, 100 %
2026/08/28 23:46:06.981, 2160 MHz, 59, 51.92 W, 100 %
2026/08/28 23:46:07.986, 2235 MHz, 58, 52.85 W, 100 %
2026/08/28 23:46:08.988, 2280 MHz, 59, 54.62 W, 100 %
2026/08/28 23:46:09.990, 2340 MHz, 60, 57.87 W, 100 %
2026/08/28 23:46:10.992, 2370 MHz, 60, 59.12 W, 100 %
2026/08/28 23:46:11.996, 2295 MHz, 63, 60.21 W, 99 %
2026/08/28 23:46:13.000, 2325 MHz, 64, 65.50 W, 98 %
2026/08/28 23:46:14.008, 2355 MHz, 64, 62.67 W, 98 %
2026/08/28 23:46:15.015, 2355 MHz, 65, 63.54 W, 98 %
2026/08/28 23:46:16.025, 2355 MHz, 66, 64.34 W, 98 %
2026/08/28 23:46:17.043, 2445 MHz, 65, 63.99 W, 99 %
2026/08/28 23:46:18.053, 2460 MHz, 64, 63.80 W, 100 %
2026/08/28 23:46:19.065, 2445 MHz, 64, 63.96 W, 100 %
2026/08/28 23:46:20.077, 2475 MHz, 65, 63.08 W, 100 %
2026/08/28 23:46:21.088, 2460 MHz, 65, 63.79 W, 100 %
2026/08/28 23:46:22.099, 2490 MHz, 65, 63.68 W, 99 %
2026/08/28 23:46:23.112, 2475 MHz, 65, 63.87 W, 100 %
2026/08/28 23:46:24.126, 2445 MHz, 65, 63.74 W, 100 %
2026/08/28 23:46:25.138, 2460 MHz, 65, 64.08 W, 100 %
2026/08/28 23:46:26.152, 2355 MHz, 66, 64.22 W, 98 %
2026/08/28 23:46:27.164, 2325 MHz, 68, 62.44 W, 98 %
2026/08/28 23:46:28.192, 2310 MHz, 67, 62.33 W, 98 %
