timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 01:10:37.129, 210 MHz, 48, 1.62 W, 0 %
2026/08/28 01:10:38.133, 2055 MHz, 51, 61.61 W, 99 %
2026/08/28 01:10:39.134, 2220 MHz, 57, 53.01 W, 100 %
2026/08/28 01:10:40.137, 2370 MHz, 58, 56.30 W, 99 %
2026/08/28 01:10:41.139, 2400 MHz, 59, 58.16 W, 100 %
2026/08/28 01:10:42.141, 2430 MHz, 59, 60.06 W, 100 %
2026/08/28 01:10:43.144, 2475 MHz, 60, 62.42 W, 100 %
2026/08/28 01:10:44.147, 2460 MHz, 62, 64.16 W, 100 %
2026/08/28 01:10:45.155, 2505 MHz, 62, 65.26 W, 100 %
2026/08/28 01:10:46.158, 2550 MHz, 63, 65.51 W, 100 %
2026/08/28 01:10:47.160, 2520 MHz, 63, 65.07 W, 100 %
2026/08/28 01:10:48.163, 2505 MHz, 63, 64.89 W, 100 %
2026/08/28 01:10:49.166, 2490 MHz, 63, 65.26 W, 100 %
2026/08/28 01:10:50.169, 2490 MHz, 64, 65.42 W, 100 %
2026/08/28 01:10:51.172, 2505 MHz, 64, 65.43 W, 100 %
2026/08/28 01:10:52.175, 2490 MHz, 64, 65.64 W, 100 %
2026/08/28 01:10:53.177, 2490 MHz, 64, 64.96 W, 99 %
2026/08/28 01:10:54.179, 2475 MHz, 64, 64.93 W, 100 %
2026/08/28 01:10:55.182, 2505 MHz, 65, 64.84 W, 100 %
2026/08/28 01:10:56.185, 2460 MHz, 65, 64.92 W, 100 %
2026/08/28 01:10:57.188, 2490 MHz, 65, 65.19 W, 100 %
2026/08/28 01:10:58.190, 2475 MHz, 65, 65.46 W, 100 %
2026/08/28 01:10:59.193, 2445 MHz, 66, 65.10 W, 100 %
2026/08/28 01:11:00.196, 2505 MHz, 66, 64.92 W, 100 %
2026/08/28 01:11:01.199, 2445 MHz, 66, 64.89 W, 100 %
2026/08/28 01:11:02.202, 2505 MHz, 66, 65.27 W, 100 %
2026/08/28 01:11:03.204, 2445 MHz, 66, 64.90 W, 100 %
2026/08/28 01:11:04.206, 2460 MHz, 66, 64.75 W, 100 %
2026/08/28 01:11:05.209, 2460 MHz, 66, 64.88 W, 100 %
