timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 16:32:13.329, 210 MHz, 50, 2.08 W, 0 %
2026/08/28 16:32:14.342, 210 MHz, 50, 4.79 W, 32 %
2026/08/28 16:32:15.346, 1005 MHz, 53, 22.00 W, 100 %
2026/08/28 16:32:16.349, 1290 MHz, 53, 24.01 W, 99 %
2026/08/28 16:32:17.351, 1680 MHz, 56, 34.35 W, 100 %
2026/08/28 16:32:18.353, 2175 MHz, 59, 41.44 W, 100 %
2026/08/28 16:32:19.356, 2190 MHz, 60, 44.60 W, 100 %
2026/08/28 16:32:20.358, 2235 MHz, 60, 47.81 W, 99 %
2026/08/28 16:32:21.361, 2370 MHz, 61, 51.58 W, 100 %
2026/08/28 16:32:22.363, 2385 MHz, 61, 55.19 W, 100 %
2026/08/28 16:32:23.366, 2415 MHz, 63, 56.55 W, 100 %
2026/08/28 16:32:24.368, 2505 MHz, 63, 58.06 W, 100 %
2026/08/28 16:32:25.371, 2535 MHz, 64, 60.00 W, 100 %
2026/08/28 16:32:26.374, 2580 MHz, 65, 61.62 W, 100 %
2026/08/28 16:32:27.376, 2565 MHz, 65, 62.71 W, 100 %
2026/08/28 16:32:28.378, 2550 MHz, 66, 63.15 W, 100 %
2026/08/28 16:32:29.385, 2565 MHz, 67, 63.53 W, 100 %
2026/08/28 16:32:30.388, 2565 MHz, 66, 63.39 W, 100 %
2026/08/28 16:32:31.390, 2520 MHz, 68, 63.34 W, 99 %
2026/08/28 16:32:32.394, 2520 MHz, 68, 64.20 W, 100 %
2026/08/28 16:32:33.396, 2505 MHz, 68, 64.61 W, 100 %
2026/08/28 16:32:34.399, 2520 MHz, 68, 63.27 W, 99 %
2026/08/28 16:32:35.402, 2505 MHz, 68, 62.17 W, 100 %
2026/08/28 16:32:36.408, 2460 MHz, 68, 61.61 W, 100 %
2026/08/28 16:32:37.410, 2490 MHz, 68, 62.21 W, 99 %
2026/08/28 16:32:38.413, 2475 MHz, 69, 62.64 W, 99 %
2026/08/28 16:32:39.416, 2535 MHz, 69, 63.25 W, 99 %
2026/08/28 16:32:40.418, 2535 MHz, 69, 64.05 W, 100 %
2026/08/28 16:32:41.420, 2535 MHz, 69, 64.57 W, 99 %
2026/08/28 16:32:42.422, 2550 MHz, 69, 64.55 W, 100 %
2026/08/28 16:32:43.425, 2535 MHz, 69, 64.55 W, 99 %
2026/08/28 16:32:44.429, 2565 MHz, 69, 64.55 W, 100 %
2026/08/28 16:32:45.433, 2535 MHz, 70, 64.20 W, 100 %
2026/08/28 16:32:46.435, 2535 MHz, 70, 64.51 W, 99 %
2026/08/28 16:32:47.437, 2565 MHz, 69, 63.77 W, 100 %
2026/08/28 16:32:48.442, 2595 MHz, 69, 63.38 W, 100 %
2026/08/28 16:32:49.444, 2565 MHz, 69, 63.94 W, 100 %
2026/08/28 16:32:50.448, 2595 MHz, 69, 64.13 W, 100 %
2026/08/28 16:32:51.451, 2550 MHz, 69, 63.39 W, 100 %
2026/08/28 16:32:52.455, 2565 MHz, 68, 59.92 W, 100 %
2026/08/28 16:32:53.458, 2535 MHz, 68, 62.63 W, 100 %
2026/08/28 16:32:54.461, 2535 MHz, 69, 63.00 W, 100 %
2026/08/28 16:32:55.464, 2565 MHz, 69, 63.18 W, 100 %
2026/08/28 16:32:56.468, 2580 MHz, 69, 63.47 W, 100 %
2026/08/28 16:32:57.471, 2505 MHz, 69, 61.66 W, 100 %
2026/08/28 16:32:58.474, 2550 MHz, 68, 62.53 W, 100 %
2026/08/28 16:32:59.477, 2550 MHz, 69, 62.45 W, 100 %
2026/08/28 16:33:00.480, 2550 MHz, 70, 63.04 W, 100 %
2026/08/28 16:33:01.483, 2535 MHz, 68, 61.86 W, 100 %
2026/08/28 16:33:02.487, 2565 MHz, 69, 61.91 W, 100 %
2026/08/28 16:33:03.489, 2535 MHz, 69, 62.47 W, 100 %
2026/08/28 16:33:04.492, 2565 MHz, 69, 63.45 W, 100 %
2026/08/28 16:33:05.495, 2565 MHz, 70, 63.99 W, 100 %
2026/08/28 16:33:06.499, 2580 MHz, 69, 64.00 W, 100 %
2026/08/28 16:33:07.507, 2505 MHz, 70, 63.40 W, 99 %
2026/08/28 16:33:08.510, 2535 MHz, 71, 63.98 W, 100 %
2026/08/28 16:33:09.513, 2505 MHz, 71, 62.52 W, 100 %
2026/08/28 16:33:10.516, 2505 MHz, 70, 62.92 W, 99 %
2026/08/28 16:33:11.520, 2505 MHz, 71, 63.58 W, 99 %
2026/08/28 16:33:12.523, 2535 MHz, 71, 63.95 W, 100 %
2026/08/28 16:33:13.526, 2535 MHz, 71, 64.08 W, 100 %
2026/08/28 16:33:14.529, 2565 MHz, 71, 64.66 W, 99 %
