timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 18:26:13.089, 210 MHz, 52, 2.05 W, 0 %
2026/08/28 18:26:14.092, 915 MHz, 54, 22.11 W, 99 %
2026/08/28 18:26:15.100, 1155 MHz, 55, 26.32 W, 100 %
2026/08/28 18:26:16.102, 1515 MHz, 57, 33.42 W, 99 %
2026/08/28 18:26:17.107, 1920 MHz, 59, 44.07 W, 100 %
2026/08/28 18:26:18.113, 2235 MHz, 61, 47.62 W, 100 %
2026/08/28 18:26:19.115, 2265 MHz, 61, 46.43 W, 100 %
2026/08/28 18:26:20.117, 2205 MHz, 62, 48.53 W, 100 %
2026/08/28 18:26:21.126, 2370 MHz, 63, 51.61 W, 100 %
2026/08/28 18:26:22.128, 2220 MHz, 65, 54.93 W, 99 %
2026/08/28 18:26:23.131, 2250 MHz, 66, 56.02 W, 99 %
2026/08/28 18:26:24.133, 2310 MHz, 67, 58.53 W, 99 %
2026/08/28 18:26:25.135, 2310 MHz, 68, 59.67 W, 99 %
2026/08/28 18:26:26.137, 2355 MHz, 68, 61.76 W, 98 %
2026/08/28 18:26:27.141, 2385 MHz, 69, 62.67 W, 98 %
2026/08/28 18:26:28.145, 2640 MHz, 68, 58.61 W, 100 %
2026/08/28 18:26:29.159, 2640 MHz, 68, 63.29 W, 100 %
2026/08/28 18:26:30.161, 2610 MHz, 68, 63.22 W, 100 %
2026/08/28 18:26:31.164, 2595 MHz, 69, 63.59 W, 100 %
2026/08/28 18:26:32.167, 2625 MHz, 69, 63.23 W, 100 %
2026/08/28 18:26:33.172, 2595 MHz, 69, 63.11 W, 100 %
2026/08/28 18:26:34.174, 2640 MHz, 69, 63.57 W, 100 %
2026/08/28 18:26:35.177, 2640 MHz, 69, 63.46 W, 100 %
2026/08/28 18:26:36.179, 2610 MHz, 69, 61.89 W, 100 %
2026/08/28 18:26:37.181, 2370 MHz, 70, 62.18 W, 98 %
2026/08/28 18:26:38.184, 2370 MHz, 71, 62.93 W, 98 %
2026/08/28 18:26:39.187, 2400 MHz, 72, 63.67 W, 99 %
