timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%]
2026/08/28 15:43:21.449, 210 MHz, 50, 1.98 W, 0 %
2026/08/28 15:43:22.453, 885 MHz, 52, 22.73 W, 100 %
2026/08/28 15:43:23.455, 1110 MHz, 54, 25.54 W, 100 %
2026/08/28 15:43:24.457, 1440 MHz, 55, 30.67 W, 99 %
2026/08/28 15:43:25.459, 1800 MHz, 57, 42.07 W, 100 %
2026/08/28 15:43:26.461, 2220 MHz, 59, 45.46 W, 100 %
2026/08/28 15:43:27.463, 2175 MHz, 60, 44.99 W, 100 %
2026/08/28 15:43:28.465, 2280 MHz, 60, 49.26 W, 100 %
2026/08/28 15:43:29.467, 2340 MHz, 62, 51.34 W, 100 %
2026/08/28 15:43:30.469, 2205 MHz, 63, 52.46 W, 99 %
2026/08/28 15:43:31.471, 2220 MHz, 64, 55.86 W, 98 %
2026/08/28 15:43:32.474, 2280 MHz, 65, 56.28 W, 99 %
2026/08/28 15:43:33.476, 2250 MHz, 65, 54.40 W, 98 %
2026/08/28 15:43:34.478, 2295 MHz, 66, 58.98 W, 99 %
2026/08/28 15:43:35.486, 2355 MHz, 67, 60.55 W, 99 %
2026/08/28 15:43:36.489, 2625 MHz, 66, 70.05 W, 100 %
2026/08/28 15:43:37.492, 2595 MHz, 67, 63.25 W, 100 %
2026/08/28 15:43:38.495, 2670 MHz, 67, 63.57 W, 99 %
2026/08/28 15:43:39.499, 2640 MHz, 67, 62.74 W, 100 %
2026/08/28 15:43:40.501, 2655 MHz, 67, 63.66 W, 99 %
2026/08/28 15:43:41.503, 2610 MHz, 68, 64.29 W, 100 %
2026/08/28 15:43:42.506, 2655 MHz, 68, 63.86 W, 100 %
2026/08/28 15:43:43.508, 2640 MHz, 68, 63.13 W, 100 %
2026/08/28 15:43:44.513, 2565 MHz, 69, 62.25 W, 100 %
2026/08/28 15:43:45.516, 2340 MHz, 70, 62.41 W, 98 %
2026/08/28 15:43:46.519, 2370 MHz, 70, 62.33 W, 99 %
2026/08/28 15:43:47.522, 2385 MHz, 70, 63.69 W, 99 %
